"Date","NSW","VIC","QLD","SA","WA","TAS","NT","ACT"
"14/10/21","508","945","7","4","9","13","0","10"
"15/10/21","512","951","7","4","9","13","0","11"
"16/10/21","514","957","7","4","9","13","0","11"
"17/10/21","524","963","7","4","9","13","0","11"
"18/10/21","529","970","7","4","9","13","0","11"
"19/10/21","533","981","7","4","9","13","0","11"
"20/10/21","540","993","7","4","9","13","0","11"
"21/10/21","541","1005","7","4","9","13","0","11"
"22/10/21","546","1021","7","4","9","13","0","11"
"23/10/21","548","1030","7","4","9","13","0","11"
"24/10/21","552","1041","7","4","9","13","0","11"
"25/10/21","556","1048","7","4","9","13","0","11"
"26/10/21","557","1052","7","4","9","13","0","11"
"27/10/21","560","1065","7","4","9","13","0","11"
"28/10/21","562","1090","7","4","9","13","0","11"
"29/10/21","564","1100","7","4","9","13","0","11"
"30/10/21","567","1111","7","4","9","13","0","11"
"31/10/21","568","1122","7","4","9","13","0","11"
"01/11/21","572","1126","7","4","9","13","0","13"
"02/11/21","576","1135","7","4","9","13","0","13"
"03/11/21","580","1143","7","4","9","13","0","13"
"04/11/21","584","1152","7","4","9","13","0","13"
"05/11/21","587","1162","7","4","9","13","0","14"
"06/11/21","590","1169","7","4","9","13","0","14"
"07/11/21","591","1178","7","4","9","13","0","14"
"08/11/21","598","1183","7","4","9","13","0","14"
"09/11/21","602","1193","7","4","9","13","0","14"
"10/11/21","605","1207","7","4","9","13","0","14"
"11/11/21","606","1211","7","4","9","13","0","14"
"12/11/21","608","1220","7","4","9","13","0","14"
"13/11/21","608","1224","7","4","9","13","0","14"
"14/11/21","609","1228","7","4","9","13","0","14"
"15/11/21","610","1233","7","4","9","13","0","14"
"16/11/21","612","1241","7","4","9","13","0","14"
"17/11/21","612","1250","7","4","9","13","0","14"
"18/11/21","615","1260","7","4","9","13","0","14"
"19/11/21","618","1268","7","4","9","13","0","14"
"20/11/21","618","1273","7","4","9","13","0","14"
"21/11/21","620","1277","7","4","9","13","0","14"
"22/11/21","621","1280","7","4","9","13","0","14"
"23/11/21","623","1298","7","4","9","13","0","14"
"24/11/21","625","1301","7","4","9","13","0","14"
"25/11/21","625","1306","7","4","9","13","0","14"
"26/11/21","625","1313","7","4","9","13","0","14"
"27/11/21","625","1318","7","4","9","13","0","14"
"28/11/21","625","1322","7","4","9","13","0","14"
"29/11/21","625","1325","7","4","9","13","0","14"
"30/11/21","628","1331","7","4","9","13","0","14"
"01/12/21","628","1336","7","4","9","13","0","14"
"02/12/21","628","1346","7","4","9","13","0","14"
"03/12/21","628","1357","7","4","9","13","1","14"
"04/12/21","629","1366","7","4","9","13","1","14"
"05/12/21","630","1373","7","4","9","13","1","14"
"06/12/21","630","1378","7","4","9","13","1","14"
"07/12/21","632","1385","7","4","9","13","1","14"
"08/12/21","633","1390","7","4","9","13","1","15"
"09/12/21","634","1399","7","4","9","13","1","15"
"10/12/21","634","1401","7","4","9","13","1","15"
"11/12/21","637","1414","7","4","9","13","1","15"
"12/12/21","639","1416","7","4","9","13","1","15"
"13/12/21","639","1418","7","4","9","13","1","15"
"14/12/21","640","1424","7","4","9","13","1","15"
"15/12/21","641","1427","7","4","9","13","1","15"
"16/12/21","641","1436","7","4","9","13","1","15"
"17/12/21","642","1443","7","4","9","13","1","15"
"18/12/21","643","1450","7","4","9","13","1","15"
"19/12/21","643","1454","7","4","9","13","1","15"
"20/12/21","643","1454","7","4","9","13","1","15"
"21/12/21","645","1460","7","4","9","13","1","15"
"22/12/21","647","1466","7","4","9","13","1","15"
"23/12/21","648","1476","7","4","9","13","1","15"
"24/12/21","649","1484","7","4","9","13","1","15"
"25/12/21","649","1490","7","4","9","13","1","15"
"26/12/21","649","1492","7","4","9","13","1","15"
"27/12/21","652","1495","7","5","9","13","1","15"
"28/12/21","653","1499","7","5","9","13","1","15"
"29/12/21","656","1504","7","5","9","13","1","15"
"30/12/21","657","1518","7","6","9","13","1","15"
"31/12/21","663","1525","7","8","9","13","1","15"
"01/01/22","667","1534","7","8","9","13","1","15"
"02/01/22","669","1537","7","8","9","13","1","15"
"03/01/22","673","1540","7","8","9","13","1","15"
"04/01/22","676","1542","7","8","9","13","1","15"
"05/01/22","684","1553","7","8","9","13","1","15"
"06/01/22","689","1559","8","8","9","13","1","15"
"07/01/22","700","1565","8","9","9","13","1","15"
"08/01/22","709","1574","10","15","9","13","1","15"
"09/01/22","725","1578","10","16","9","13","1","15"
"10/01/22","743","1580","10","18","9","13","1","15"
"11/01/22","754","1593","11","19","9","13","1","16"
"12/01/22","775","1614","11","26","9","13","1","16"
"13/01/22","797","1639","17","30","9","13","1","16"
"14/01/22","826","1657","20","36","9","13","1","16"
"15/01/22","846","1681","26","40","9","13","2","16"
"16/01/22","866","1689","29","42","9","13","2","18"
"17/01/22","883","1694","36","42","9","13","2","19"
"18/01/22","920","1716","52","44","9","13","2","20"
"19/01/22","951","1736","63","47","9","13","2","20"
"20/01/22","976","1751","72","58","9","13","2","20"
"21/01/22","1022","1771","85","64","9","14","2","22"
"22/01/22","1052","1791","95","67","9","15","2","22"
"23/01/22","1086","1805","105","67","9","15","2","22"
"24/01/22","1110","1822","118","69","9","15","2","24"
"25/01/22","1139","1851","129","74","9","16","2","25"
"26/01/22","1167","1885","138","87","9","17","2","25"
"27/01/22","1196","1900","153","100","9","17","2","25"
"28/01/22","1266","1939","172","105","9","17","2","26"
"29/01/22","1314","1970","183","110","9","17","2","26"
"30/01/22","1366","1988","196","111","9","18","2","26"
"31/01/22","1392","1995","199","117","9","18","2","26"
"01/02/22","1422","2029","209","120","9","18","2","26"
"02/02/22","1449","2054","225","121","9","18","3","26"
"03/02/22","1487","2088","234","122","9","19","4","26"
"04/02/22","1518","2124","247","125","9","19","4","27"
"05/02/22","1536","2165","268","127","9","19","4","28"
"06/02/22","1564","2171","277","128","9","20","5","28"
"07/02/22","1578","2178","296","133","9","20","5","29"
"08/02/22","1596","2198","308","137","9","20","5","30"
"09/02/22","1616","2219","332","139","9","22","5","31"
"10/02/22","1640","2235","340","146","9","23","7","31"
"11/02/22","1659","2247","354","148","10","23","9","31"
"12/02/22","1691","2266","367","149","10","23","9","31"
"13/02/22","1713","2284","371","151","10","23","10","31"
"14/02/22","1727","2286","377","154","10","23","10","31"
"15/02/22","1743","2306","387","158","10","23","10","31"
"16/02/22","1770","2324","399","162","10","23","13","31"
"17/02/22","1784","2333","438","164","10","23","13","31"
"18/02/22","1799","2347","446","164","10","23","14","32"
"19/02/22","1811","2367","456","166","10","24","14","32"
"20/02/22","1832","2376","458","166","10","24","15","32"
"21/02/22","1839","2379","463","166","10","24","15","33"
"22/02/22","1853","2392","468","169","10","24","16","33"
"23/02/22","1859","2410","505","169","10","24","16","33"
"24/02/22","1871","2426","513","172","10","24","19","33"
"25/02/22","1877","2437","520","174","10","25","21","33"
"26/02/22","1888","2452","528","174","10","25","22","33"
"27/02/22","1895","2469","529","176","10","25","22","33"
"28/02/22","1901","2472","530","177","10","25","22","34"
"01/03/22","1910","2490","540","179","10","25","24","34"
"02/03/22","1915","2517","564","181","10","25","26","34"
"03/03/22","1924","2540","570","186","11","25","29","34"
"04/03/22","1926","2566","577","188","11","25","30","34"
"05/03/22","1936","2590","589","188","11","26","29","34"
"06/03/22","1941","2594","591","190","11","26","29","34"
"07/03/22","1946","2596","592","213","12","26","30","34"
"08/03/22","1951","2602","597","212","12","26","31","34"
"09/03/22","1960","2611","610","215","12","26","31","34"
"10/03/22","1964","2619","615","219","12","26","31","34"
"11/03/22","1971","2629","623","220","12","26","31","37"
"12/03/22","1975","2640","629","221","12","26","31","37"
"13/03/22","1982","2644","632","222","13","26","31","37"
"14/03/22","1983","2645","634","222","13","26","31","37"
"15/03/22","1989","2649","644","225","14","26","31","38"
"16/03/22","1994","2657","652","225","15","27","31","38"
"17/03/22","1999","2664","662","228","16","27","31","38"
"18/03/22","2005","2673","673","231","16","27","31","38"
"19/03/22","2017","2675","683","231","19","27","31","38"
"20/03/22","2021","2675","683","234","21","27","31","38"
"21/03/22","2025","2675","685","234","21","27","31","38"
"22/03/22","2029","2682","694","238","22","28","32","38"
"23/03/22","2034","2693","700","240","23","28","32","38"
"24/03/22","2042","2704","706","242","30","29","33","38"
"25/03/22","2049","2713","709","246","32","29","33","39"
"26/03/22","2053","2722","717","253","34","29","33","39"
"27/03/22","2054","2727","718","253","38","29","33","39"
"28/03/22","2057","2727","718","256","38","29","33","39"
"29/03/22","2066","2732","727","257","44","30","33","39"
"30/03/22","2081","2739","732","259","47","31","34","39"
"31/03/22","2098","2743","737","259","50","31","35","41"
"01/04/22","2431","2749","740","261","52","31","35","42"
"02/04/22","2444","2752","746","263","53","31","36","42"
"03/04/22","2455","2754","746","264","56","31","36","42"
"04/04/22","2461","2755","747","264","62","31","36","42"
"05/04/22","2472","2763","755","268","67","31","36","43"
"06/04/22","2487","2766","756","270","72","32","36","43"
"07/04/22","2503","2770","763","273","75","32","36","43"
"08/04/22","2511","2774","772","279","77","33","36","44"
"09/04/22","2521","2781","774","280","80","33","36","45"
"10/04/22","2529","2782","775","281","82","34","36","45"
"11/04/22","2532","2783","775","281","82","34","36","46"
"12/04/22","2543","2795","781","287","85","36","36","46"
"13/04/22","2551","2809","791","289","87","39","36","46"
"14/04/22","2572","2823","795","290","89","41","36","47"
"15/04/22","2588","2830","797","297","90","42","36","47"
"16/04/22","2606","2838","798","298","97","42","36","47"
"17/04/22","2612","2840","798","298","105","43","36","47"
"18/04/22","2616","2841","802","298","105","43","37","47"
"19/04/22","2624","2848","802","301","105","43","37","47"
"20/04/22","2639","2860","808","303","105","43","38","47"
"21/04/22","2655","2871","823","306","107","44","39","48"
"22/04/22","2668","2887","828","310","112","46","39","49"
"23/04/22","2684","2900","835","314","113","47","40","50"
"24/04/22","2692","2902","838","319","116","47","40","50"
"25/04/22","2696","2906","840","325","117","47","40","50"
"26/04/22","2714","2919","841","332","125","48","40","50"
"27/04/22","2724","2932","850","335","135","49","40","50"
"28/04/22","2742","2941","857","339","142","49","43","50"
"29/04/22","2749","2948","863","342","144","50","43","50"
"30/04/22","2769","2967","868","346","148","50","43","51"
"01/05/22","2774","2974","868","348","148","51","43","51"
"02/05/22","2779","2975","868","351","148","54","43","52"
"03/05/22","2802","2987","868","354","149","55","43","53"
"04/05/22","2823","2998","876","366","151","56","43","54"
"05/05/22","2844","3012","887","370","157","56","43","54"
"06/05/22","2851","3021","898","371","157","56","44","55"
"07/05/22","2870","3030","903","373","163","58","45","55"
"08/05/22","2876","3034","905","378","164","59","45","55"
"09/05/22","2879","3034","905","375","164","59","45","55"
"10/05/22","2896","3052","908","378","170","60","45","56"
"11/05/22","2907","3068","918","386","173","60","45","58"
"12/05/22","2930","3083","921","393","178","61","45","58"
"13/05/22","2943","3101","933","396","181","63","46","58"
"14/05/22","2962","3123","938","401","183","63","46","58"
"15/05/22","2966","3133","940","401","187","64","46","58"
"16/05/22","2970","3138","940","403","188","65","46","58"
"17/05/22","2986","3158","952","405","201","66","46","59"
"18/05/22","3000","3180","959","411","204","67","46","59"
"19/05/22","3022","3193","961","415","210","69","46","60"
"20/05/22","3031","3216","970","419","215","69","47","60"
"21/05/22","3045","3237","974","424","216","69","47","61"
"22/05/22","3052","3247","974","426","216","70","47","61"
"23/05/22","3057","3252","980","426","216","71","47","61"
"24/05/22","3071","3268","998","440","222","71","47","61"
"25/05/22","3082","3332","1008","441","224","71","47","61"
"26/05/22","3112","3350","1027","442","225","71","47","61"
"27/05/22","3121","3359","1034","443","236","71","49","61"
"28/05/22","3146","3381","1037","443","243","71","49","62"
"29/05/22","3150","3397","1039","443","250","72","49","62"
"30/05/22","3151","3398","1040","443","252","73","49","62"
"31/05/22","3170","3417","1051","443","254","74","49","63"
"01/06/22","3179","3432","1057","444","255","76","49","64"
"02/06/22","3202","3442","1068","446","263","77","51","64"
"03/06/22","3213","3464","1073","451","269","77","51","64"
"04/06/22","3231","3480","1084","455","279","78","51","64"
"05/06/22","3236","3496","1085","457","284","79","51","64"
"06/06/22","3239","3510","1085","458","285","79","51","64"
"07/06/22","3247","3522","1087","463","287","79","51","66"
"08/06/22","3257","3547","1101","463","295","79","51","67"
"09/06/22","3278","3569","1110","463","300","80","52","67"
"10/06/22","3289","3588","1111","465","306","81","52","68"
"11/06/22","3311","3611","1118","478","311","81","52","68"
"12/06/22","3316","3627","1119","478","313","81","52","68"
"13/06/22","3319","3630","1120","480","315","81","52","68"
"14/06/22","3322","3645","1126","480","319","81","52","68"
"15/06/22","3336","3663","1139","485","322","81","52","68"
"16/06/22","3353","3684","1152","491","336","82","52","68"
"17/06/22","3360","3702","1163","496","337","84","52","74"
"18/06/22","3385","3731","1171","496","338","85","52","74"
"19/06/22","3392","3750","1171","498","352","85","52","74"
"20/06/22","3397","3750","1171","503","354","85","52","75"
"21/06/22","3404","3778","1175","514","359","85","52","78"
"22/06/22","3430","3802","1181","518","360","86","52","78"
"23/06/22","3456","3811","1186","520","367","88","52","78"
"24/06/22","3469","3831","1192","524","368","89","52","78"
"25/06/22","3490","3855","1197","525","373","89","52","78"
"26/06/22","3497","3870","1199","525","375","89","52","78"
"27/06/22","3507","3871","1199","531","377","89","52","78"
"28/06/22","3547","3882","1218","530","381","89","53","78"
"29/06/22","3558","3905","1238","530","385","90","53","78"
"30/06/22","3581","3922","1248","530","392","92","53","79"
"01/07/22","3590","3934","1254","533","394","92","53","80"
"02/07/22","3610","3947","1270","533","397","94","53","80"
"03/07/22","3612","3969","1270","539","397","94","53","80"
"04/07/22","3613","3993","1270","540","397","94","53","80"
"05/07/22","3627","4009","1281","540","399","96","53","81"
"06/07/22","3637","4032","1285","545","400","97","53","81"
"07/07/22","3659","4044","1302","546","408","97","53","81"
"08/07/22","3666","4053","1315","546","411","100","53","81"
"09/07/22","3699","4073","1323","550","422","100","53","82"
"10/07/22","3707","4075","1323","552","422","101","53","82"
"11/07/22","3715","4075","1323","553","423","101","53","84"
"12/07/22","3735","4091","1338","556","426","102","53","84"
"13/07/22","3749","4111","1350","558","428","104","53","84"
"14/07/22","3785","4131","1368","559","433","105","53","84"
"15/07/22","3798","4148","1388","565","440","106","53","84"
"16/07/22","3836","4156","1410","568","443","108","54","84"
"17/07/22","3848","4172","1410","569","443","109","54","84"
"18/07/22","3853","4190","1409","571","445","113","54","84"
"19/07/22","3879","4215","1427","574","448","113","54","84"
"20/07/22","3899","4243","1442","596","445","116","54","84"
"21/07/22","3924","4280","1452","603","452","118","54","85"
"22/07/22","3939","4305","1462","610","454","122","54","86"
"23/07/22","3980","4349","1470","613","456","123","54","89"
"24/07/22","3994","4361","1470","614","463","125","54","89"
"25/07/22","4001","4361","1470","629","469","127","54","89"
"26/07/22","4031","4401","1491","632","476","129","54","89"
"27/07/22","4051","4433","1510","636","480","133","55","89"
"28/07/22","4085","4470","1537","653","485","137","55","90"
"29/07/22","4107","4577","1554","661","488","137","55","90"
"30/07/22","4153","4638","1567","665","501","138","55","92"
"31/07/22","4158","4659","1567","674","507","138","55","92"
"01/08/22","4165","4661","1567","679","504","141","55","92"
"02/08/22","4212","4674","1590","682","509","142","56","96"
"03/08/22","4251","4680","1596","688","513","145","56","97"
"04/08/22","4284","4689","1627","691","523","149","56","100"
"05/08/22","4313","4723","1635","699","524","151","56","100"
"06/08/22","4343","4747","1653","712","525","151","56","101"
"07/08/22","4358","4750","1653","712","535","155","56","101"
"08/08/22","4362","4751","1653","719","535","156","57","102"
"09/08/22","4387","4794","1677","723","534","159","57","106"
"10/08/22","4417","4844","1712","732","538","160","58","107"
"11/08/22","4446","4880","1723","733","543","161","59","108"
"12/08/22","4481","4894","1741","745","548","162","59","109"
"13/08/22","4516","4916","1757","753","551","166","59","110"
"14/08/22","4525","4940","1757","753","551","167","59","110"
"15/08/22","4531","4955","1757","754","553","167","59","110"
"16/08/22","4555","4975","1774","759","554","169","59","114"
"17/08/22","4581","4990","1791","761","558","170","59","116"
"18/08/22","4624","5036","1811","771","563","172","63","116"
"19/08/22","4646","5063","1825","773","568","174","63","117"
"20/08/22","4680","5093","1845","778","575","175","63","117"
"21/08/22","4696","5111","1845","779","576","175","63","117"
"22/08/22","4699","5115","1845","777","576","175","63","117"
"23/08/22","4731","5140","1871","786","573","176","63","117"
"24/08/22","4745","5150","1900","777","574","176","63","121"
"25/08/22","4774","5189","1912","776","577","177","62","121"
"26/08/22","4796","5213","1919","774","580","177","68","121"
"27/08/22","4816","5252","1937","777","584","177","68","123"
"28/08/22","4821","5261","1937","777","585","177","68","123"
"29/08/22","4825","5264","1937","778","587","177","68","123"
"30/08/22","4862","5282","1955","779","588","177","68","123"
"31/08/22","4884","5307","1969","782","589","180","68","123"
"01/09/22","4907","5325","1985","778","590","180","68","124"
"02/09/22","4928","5341","1986","781","603","180","70","125"
"03/09/22","4946","5351","1986","787","607","181","70","125"
"04/09/22","4952","5359","1986","787","607","181","70","125"
"05/09/22","4953","5363","1988","788","609","181","70","125"
"06/09/22","4980","5388","2003","792","612","182","70","125"
"07/09/22","5001","5399","2027","796","614","182","70","125"
"08/09/22","5026","5423","2038","798","626","182","70","125"
"09/09/22","5046","5464","2048","860","626","182","70","125"
"10/09/22","5046","5469","2048","860","626","182","70","125"
"11/09/22","5046","5469","2048","860","628","182","70","125"
"12/09/22","5046","5469","2048","860","629","182","70","125"
"13/09/22","5046","5494","2048","860","629","182","70","125"
"14/09/22","5046","5495","2048","860","631","182","70","125"
"15/09/22","5046","5495","2048","860","639","182","70","125"
"16/09/22","5161","5513","2092","907","639","185","70","125"
"17/09/22","5161","5517","2092","907","639","185","70","125"
"18/09/22","5161","5532","2092","907","639","185","70","125"
"19/09/22","5161","5537","2092","907","639","185","70","125"
"20/09/22","5161","5556","2092","907","639","185","70","125"
"21/09/22","5161","5560","2092","907","639","185","70","125"
"22/09/22","5161","5593","2092","907","639","185","70","125"
"23/09/22","5301","5609","2126","929","648","185","71","125"
"24/09/22","5301","5609","2126","929","648","185","71","125"
"25/09/22","5301","5609","2126","929","648","185","71","125"
"26/09/22","5301","5609","2126","929","648","185","71","125"
"27/09/22","5301","5609","2126","929","648","185","71","125"
"28/09/22","5301","5609","2126","929","648","185","71","125"
"29/09/22","5301","5609","2126","929","648","185","71","125"
"30/09/22","5383","5668","2203","946","658","187","73","126"
"01/10/22","5383","5668","2203","946","658","187","73","126"
"02/10/22","5383","5668","2203","946","658","187","73","126"
"03/10/22","5383","5668","2203","946","658","187","73","126"
"04/10/22","5383","5668","2203","946","658","187","73","126"
"05/10/22","5383","5668","2203","946","658","187","73","126"
"06/10/22","5383","5668","2203","946","658","187","73","126"
"07/10/22","5355","5706","2215","1027","668","188","73","126"
"08/10/22","5355","5706","2215","1027","668","188","73","126"
"09/10/22","5355","5706","2215","1027","668","188","73","126"
"10/10/22","5355","5706","2215","1027","668","188","73","126"
"11/10/22","5355","5706","2215","1027","668","188","73","126"
"12/10/22","5355","5706","2215","1027","668","188","73","126"
"13/10/22","5355","5706","2215","1027","668","188","73","126"
"14/10/22","5392","5752","2236","1038","674","189","73","126"
